@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R47-48,50-weka.filters.unsupervised.attribute.Remove-R43-44-weka.filters.unsupervised.attribute.Remove-R44-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,43-weka.filters.unsupervised.attribute.Remove-R2-9,11-12,15-19,21-25,27-31,33-36,39-43'

@attribute 'Q Avg' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute Male_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Took 515_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
0.775346,0.153846,1,0,0,0.796667,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.853269,'\'(0.5-inf)\''
0.818235,0.153846,0.9,0.2,0,0.79,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.889648,'\'(0.5-inf)\''
0.719436,0.153846,1,0.2,0.038462,0.53,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.820178,'\'(-inf-0.5]\''
0.886647,0,1,0,0.038462,0.99,'\'(0.5-inf)\'','\'(4.285714-5.142857]\'',0.955042,'\'(0.5-inf)\''
0.746362,0.076923,0.95,0,0,0.943333,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.87486,'\'(0.5-inf)\''
0.588195,0,1,0,0,0.653333,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.835494,'\'(0.5-inf)\''
0.907938,0.076923,0.928571,0.2,0.038462,0.986667,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.937166,'\'(0.5-inf)\''
0.908328,0.076923,1,0,0,0.98,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.946959,'\'(0.5-inf)\''
0.935909,0,1,0.2,0,0.983333,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.944607,'\'(0.5-inf)\''
0.879684,0,1,0,0.038462,0.94,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.952657,'\'(0.5-inf)\''
0.900751,0.230769,1,0.6,0.076923,0.9,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.878051,'\'(0.5-inf)\''
0.48291,0.461538,0.65,0.8,0.307692,0.403333,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.587057,'\'(-inf-0.5]\''
0.753912,0.461538,0.95,0,0.115385,0.86,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.761103,'\'(0.5-inf)\''
0.889353,0,1,0,0,0.946667,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.924298,'\'(0.5-inf)\''
0.765964,0.307692,1,0,0.115385,0.57,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.782023,'\'(-inf-0.5]\''
0.764848,0,1,0,0,0.853333,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.92464,'\'(0.5-inf)\''
0.883948,0.230769,1,0,0,0.956667,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.846831,'\'(0.5-inf)\''
0.68569,0,1,0,0.115385,0.373333,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.824865,'\'(0.5-inf)\''
0.514684,0.461538,0,1,0.269231,0.876667,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.62737,'\'(-inf-0.5]\''
0.658703,0.153846,0.7,0.6,0.076923,0.89,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.840859,'\'(0.5-inf)\''
0.867025,0.153846,0.95,0,0,0.95,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.922529,'\'(0.5-inf)\''
0.68193,0.230769,0.95,0,0.346154,0.456667,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.746383,'\'(-inf-0.5]\''
0.864161,0.307692,1,0.2,0.076923,0.913333,'\'(0.5-inf)\'','\'(5.142857-inf)\'',0.806625,'\'(0.5-inf)\''
0.901876,0,1,0,0,0.896667,'\'(0.5-inf)\'','\'(3.428571-4.285714]\'',0.938292,'\'(0.5-inf)\''
0.637166,0.307692,1,0.4,0.038462,0.78,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.749208,'\'(-inf-0.5]\''
0.608062,0,1,0,0,0.45,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.826928,'\'(0.5-inf)\''
0.528037,0,0.9,0,0.038462,0.4,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.806203,'\'(0.5-inf)\''
0.714088,0.076923,0.85,0,0,0.42,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.811136,'\'(-inf-0.5]\''
0.776353,0,1,0,0.076923,0.883333,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.902836,'\'(0.5-inf)\''
